class,name,total,algum conteudo foi publicado,assinatura criada,assinatura de discussao criada,comentario apagado,comentario criado,curso visto,discussao visualizada,discussao criada,formulario de confirmacao de submissao visualizado,formulario de submissao visualizado,lista de instancias de modulos de cursos visualizados,lista de usuarios vistos,modulo do curso visualizado,o status da submissao foi visualizado,o usuario aceitou o acordo da tarefa,o usuario salvou um envio,perfil do usuario visto,post atualizado,post criado,relatorio de notas do usuario visualizado,relatorio de um utilizador do curso visualizado,submissao criada,um arquivo foi enviado,um envio foi submetido,visualizado relatorio de usuario
active,Student_92,63,5,0,5,0,0,92,0,0,0,0,0,2,20,54,0,0,0,1,0,9,0,2,2,2,0
active,Student_82,73,0,0,0,1,2,65,0,0,0,1,0,4,20,20,0,0,0,0,8,1,0,0,0,0,0
active,Student_95,71,3,0,0,0,0,100,0,0,0,2,0,0,36,32,0,0,0,0,0,0,0,0,2,0,0
active,Student_83,74,1,0,5,0,0,62,0,0,0,9,0,0,12,21,0,0,0,0,3,9,0,3,3,3,0
active,Student_65,75,0,0,8,0,0,76,0,0,0,0,0,0,38,18,0,0,0,0,4,28,0,2,0,2,0
active,Student_42,99,12,0,0,0,0,137,4,0,0,4,0,0,30,72,0,0,0,0,0,4,0,2,3,16,0
active,Student_46,82,1,0,6,0,0,56,0,0,0,10,0,2,9,28,0,0,0,0,0,10,0,2,12,1,0
active,Student_61,76,1,0,1,0,0,39,0,0,0,23,0,1,20,26,0,0,0,0,1,23,0,0,0,23,0
active,Student_59,87,2,0,2,0,0,99,0,0,0,11,0,0,31,51,0,0,0,0,1,22,0,2,19,6,1
active,Student_60,95,2,0,0,0,0,104,18,0,0,1,0,0,33,51,0,0,0,0,12,13,0,2,16,10,0
active,Student_70,85,8,0,0,0,0,65,21,0,0,5,0,0,30,32,0,0,19,2,0,23,0,1,1,8,0
active,Student_90,71,2,0,0,0,0,195,3,0,0,15,0,0,40,79,0,0,2,2,3,21,0,9,1,5,0
active,Student_54,76,1,0,0,0,0,82,0,0,0,12,0,0,28,32,0,0,0,0,0,22,0,2,8,1,0
active,Student_53,98,0,0,0,0,0,64,0,0,0,0,0,0,25,35,0,0,0,0,0,3,0,1,7,10,0
active,Student_69,73,4,0,0,0,0,84,10,0,0,11,0,0,32,34,0,0,0,0,13,16,0,2,0,0,0
active,Student_86,70,0,0,0,0,0,79,2,1,0,0,0,0,36,13,0,0,0,0,0,16,0,18,2,6,0
active,Student_57,79,0,0,0,0,0,38,0,0,0,0,0,47,25,55,0,0,0,0,0,20,0,1,19,15,0
active,Student_72,89,4,0,0,0,0,59,8,0,0,0,0,0,13,20,0,0,0,0,5,12,0,13,0,2,0
active,Student_68,86,3,0,0,0,0,53,0,0,0,16,0,0,8,37,0,0,0,0,6,25,0,0,0,0,0
active,Student_91,90,1,0,0,0,0,63,17,0,0,0,0,6,45,65,0,0,0,0,0,21,0,2,23,2,0
active,Student_39,99,0,0,0,0,7,80,9,0,6,0,0,0,50,27,0,0,0,0,0,32,0,2,0,0,0
active,Student_96,89,0,0,4,0,0,74,0,0,0,0,0,0,18,65,0,0,2,0,2,5,0,6,0,0,0
active,Student_80,84,8,0,0,0,0,242,8,0,2,17,0,0,86,86,0,0,0,0,1,31,0,6,0,6,0
active,Student_73,92,0,0,0,0,0,98,9,0,0,0,0,0,19,67,0,0,2,0,7,14,0,4,34,2,0
active,Student_94,74,0,0,0,0,0,118,0,0,0,15,0,0,36,49,0,0,0,0,1,14,0,10,0,0,0
active,Student_38,91,0,0,1,0,0,47,17,0,0,0,0,0,36,71,0,0,0,0,3,3,0,21,10,10,0
active,Student_63,73,2,1,1,0,0,55,0,0,0,5,2,4,34,21,0,8,0,2,6,15,0,2,1,1,0
active,Student_44,91,0,0,0,0,0,74,8,0,0,0,0,2,11,70,0,0,4,0,0,40,0,8,11,0,0
active,Student_41,62,0,0,0,0,0,114,0,0,0,6,7,4,22,52,0,0,0,0,0,20,0,4,4,26,0
active,Student_50,76,4,0,0,0,0,46,2,0,0,14,0,0,8,15,0,0,0,0,0,5,0,12,0,1,0
active,Student_51,89,5,0,0,0,0,159,17,0,3,10,0,10,62,84,0,11,1,9,0,35,0,10,7,18,0
active,Student_85,64,17,0,0,0,0,72,10,2,0,0,0,0,33,58,0,0,0,0,0,6,0,0,0,2,0
active,Student_81,81,9,0,6,0,0,77,7,0,0,0,0,0,27,89,0,0,2,0,5,18,0,13,8,2,0
active,Student_62,65,0,0,0,0,0,102,2,0,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0
active,Student_74,76,0,0,16,0,0,44,0,0,0,13,0,0,11,23,0,0,0,0,0,6,0,0,6,1,0
active,Student_76,81,6,0,9,0,0,85,2,0,0,15,0,0,23,34,0,0,4,0,0,20,0,2,20,5,0
active,Student_52,77,1,0,5,0,0,66,0,0,0,14,0,1,17,22,0,0,2,6,0,12,0,0,2,2,0
active,Student_71,94,2,0,4,0,0,72,0,0,0,0,7,4,12,24,0,0,0,0,7,10,0,4,6,0,0
active,Student_67,66,1,0,0,0,0,111,33,0,0,0,0,0,14,26,0,0,0,0,0,4,0,0,0,0,0
active,Student_93,71,20,0,0,0,4,157,0,0,0,0,0,1,10,46,0,0,0,0,0,12,0,8,0,19,0
active,Student_89,95,4,0,0,0,0,99,2,0,0,0,0,0,16,65,0,0,0,0,19,38,0,13,0,0,0
active,Student_79,79,3,1,1,0,4,94,0,0,0,4,0,0,18,27,0,0,0,0,0,21,1,1,0,1,0
active,Student_58,88,0,0,0,0,0,67,0,0,0,0,0,2,14,34,0,0,0,0,9,10,0,0,28,1,0
active,Student_78,84,2,0,2,0,0,32,0,0,0,6,6,0,17,16,0,0,0,0,7,0,0,1,0,0,0
active,Student_49,74,8,0,0,0,0,159,12,0,0,24,0,0,6,81,0,30,32,0,0,119,0,21,8,23,0
active,Student_43,74,1,0,0,0,0,126,3,0,0,7,0,2,29,32,0,3,0,0,0,7,0,2,0,7,0
active,Student_55,87,8,0,1,0,0,103,0,0,0,0,1,3,51,61,0,0,0,0,4,9,0,2,13,6,0
inactive,Student_6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_97,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_45,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_14,10,0,0,2,1,0,50,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_77,0,2,0,0,0,0,32,0,0,0,9,0,0,4,17,0,0,0,0,1,0,0,4,0,0,0
inactive,Student_64,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_75,51,0,0,16,0,0,118,2,0,0,11,0,3,39,34,1,1,0,0,0,0,0,0,1,3,0
inactive,Student_87,52,0,0,1,0,1,109,0,0,0,11,0,4,36,34,0,0,0,0,8,32,0,0,0,6,0
inactive,Student_66,16,1,0,0,0,0,34,0,0,0,0,0,0,14,17,0,0,0,0,0,10,0,1,0,0,0
inactive,Student_22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_1,39,1,0,0,0,0,4,0,0,0,0,0,0,10,48,0,0,0,0,0,0,0,1,0,0,0
inactive,Student_56,0,1,0,0,0,0,3,0,0,0,0,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0
inactive,Student_88,49,2,0,0,0,3,132,0,0,0,7,0,0,66,33,0,0,5,11,0,16,0,3,2,1,0
inactive,Student_48,9,0,0,0,0,0,29,0,0,0,8,0,0,9,26,0,0,0,0,0,13,0,0,0,0,0
inactive,Student_24,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
