class,name,total,algum conteudo foi publicado,assinatura criada,assinatura de discussao criada,comentario apagado,comentario criado,curso visto,discussao visualizada,discussao criada,formulario de confirmacao de submissao visualizado,formulario de submissao visualizado,lista de instancias de modulos de cursos visualizados,lista de usuarios vistos,modulo do curso visualizado,o status da submissao foi visualizado,o usuario aceitou o acordo da tarefa,o usuario salvou um envio,perfil do usuario visto,post atualizado,post criado,relatorio de notas do usuario visualizado,relatorio de um utilizador do curso visualizado,submissao criada,um arquivo foi enviado,um envio foi submetido,visualizado relatorio de usuario
active,Student_92,43,1,0,0,0,0,19,0,0,0,0,0,0,20,54,0,0,0,1,0,9,0,2,2,2,0
active,Student_82,63,0,0,0,0,0,18,0,0,0,1,0,4,20,20,0,0,0,0,8,1,0,0,0,0,0
active,Student_95,53,1,0,0,0,0,32,0,0,0,2,0,0,36,32,0,0,0,0,0,0,0,0,2,0,0
active,Student_83,64,1,0,0,0,0,10,0,0,0,9,0,0,12,21,0,0,0,0,3,9,0,3,3,3,0
active,Student_65,60,0,0,0,0,0,24,0,0,0,0,0,0,35,18,0,0,0,0,4,28,0,2,0,2,0
active,Student_42,79,12,0,0,0,0,44,4,0,0,4,0,0,30,67,0,0,0,0,0,4,0,2,3,16,0
active,Student_46,67,1,0,0,0,0,14,0,0,0,10,0,0,9,28,0,0,0,0,0,10,0,2,12,1,0
active,Student_61,56,1,0,0,0,0,5,0,0,0,23,0,0,18,26,0,0,0,0,1,23,0,0,0,23,0
active,Student_59,77,2,0,0,0,0,49,0,0,0,11,0,0,29,51,0,0,0,0,1,22,0,2,19,6,1
active,Student_60,76,2,0,0,0,0,54,18,0,0,1,0,0,31,51,0,0,0,0,12,13,0,2,16,10,0
active,Student_70,66,8,0,0,0,0,26,21,0,0,5,0,0,28,32,0,0,19,2,0,23,0,1,1,8,0
active,Student_90,52,2,0,0,0,0,79,3,0,0,15,0,0,40,79,0,0,2,2,2,21,0,9,1,5,0
active,Student_54,66,1,0,0,0,0,41,0,0,0,12,0,0,28,32,0,0,0,0,0,22,0,2,8,1,0
active,Student_53,79,0,0,0,0,0,39,0,0,0,0,0,0,22,35,0,0,0,0,0,3,0,1,7,10,0
active,Student_69,57,4,0,0,0,0,56,10,0,0,11,0,0,30,34,0,0,0,0,13,16,0,2,0,0,0
active,Student_86,62,0,0,0,0,0,51,2,1,0,0,0,0,31,13,0,0,0,0,0,16,0,18,2,6,0
active,Student_57,63,0,0,0,0,0,26,0,0,0,0,0,0,25,55,0,0,0,0,0,20,0,1,19,15,0
active,Student_72,69,1,0,0,0,0,24,8,0,0,0,0,0,13,20,0,0,0,0,5,12,0,13,0,2,0
active,Student_68,69,3,0,0,0,0,26,0,0,0,16,0,0,8,37,0,0,0,0,6,25,0,0,0,0,0
active,Student_91,72,1,0,0,0,0,24,17,0,0,0,0,0,45,65,0,0,0,0,0,21,0,2,23,2,0
active,Student_39,80,0,0,0,0,0,48,9,0,6,0,0,0,43,27,0,0,0,0,0,32,0,2,0,0,0
active,Student_96,71,0,0,0,0,0,46,0,0,0,0,0,0,16,65,0,0,2,0,2,5,0,6,0,0,0
active,Student_80,66,8,0,0,0,0,156,8,0,2,17,0,0,72,86,0,0,0,0,1,25,0,6,0,6,0
active,Student_73,75,0,0,0,0,0,29,9,0,0,0,0,0,19,67,0,0,2,0,7,14,0,4,34,2,0
active,Student_94,56,0,0,0,0,0,34,0,0,0,15,0,0,36,49,0,0,0,0,1,14,0,10,0,0,0
active,Student_38,74,0,0,0,0,0,26,17,0,0,0,0,0,36,71,0,0,0,0,3,3,0,21,10,10,0
active,Student_63,56,2,0,0,0,0,18,0,0,0,5,2,4,34,21,0,8,0,2,6,15,0,2,1,1,0
active,Student_44,73,0,0,0,0,0,51,8,0,0,0,0,0,11,70,0,0,4,0,0,40,0,8,11,0,0
active,Student_41,57,0,0,0,0,0,39,0,0,0,6,7,2,17,52,0,0,0,0,0,20,0,4,4,26,0
active,Student_50,58,4,0,0,0,0,6,2,0,0,14,0,0,8,15,0,0,0,0,0,5,0,12,0,1,0
active,Student_51,70,5,0,0,0,0,89,17,0,3,10,0,0,62,84,0,11,1,9,0,35,0,10,7,18,0
active,Student_85,57,0,0,0,0,0,14,10,2,0,0,0,0,31,58,0,0,0,0,0,6,0,0,0,2,0
active,Student_81,61,7,0,0,0,0,46,7,0,0,0,0,0,27,89,0,0,2,0,5,18,0,13,8,2,0
active,Student_62,47,0,0,0,0,0,23,2,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0
active,Student_74,61,0,0,0,0,0,22,0,0,0,13,0,0,11,23,0,0,0,0,0,6,0,0,6,1,0
active,Student_76,66,1,0,0,0,0,41,2,0,0,15,0,0,22,34,0,0,4,0,0,20,0,2,20,5,0
active,Student_52,61,1,0,0,0,0,19,0,0,0,14,0,0,17,22,0,0,2,6,0,12,0,0,2,2,0
active,Student_71,75,2,0,0,0,0,33,0,0,0,0,7,4,9,24,0,0,0,0,7,10,0,4,6,0,0
active,Student_67,47,0,0,0,0,0,14,33,0,0,0,0,0,14,26,0,0,0,0,0,4,0,0,0,0,0
active,Student_93,55,0,0,0,0,0,64,0,0,0,0,0,0,10,46,0,0,0,0,0,12,0,8,0,19,0
active,Student_89,76,4,0,0,0,0,46,2,0,0,0,0,0,11,65,0,0,0,0,19,38,0,13,0,0,0
active,Student_79,62,0,0,0,0,0,27,0,0,0,4,0,0,18,27,0,0,0,0,0,21,1,1,0,1,0
active,Student_58,70,0,0,0,0,0,43,0,0,0,0,0,0,14,34,0,0,0,0,9,10,0,0,28,1,0
active,Student_78,74,2,0,0,0,0,12,0,0,0,6,6,0,17,16,0,0,0,0,7,0,0,1,0,0,0
active,Student_49,57,8,0,0,0,0,67,12,0,0,24,0,0,5,78,0,30,32,0,0,119,0,21,8,23,0
active,Student_43,56,1,0,0,0,0,33,3,0,0,7,0,0,27,32,0,3,0,0,0,7,0,2,0,7,0
active,Student_55,69,1,0,0,0,0,53,0,0,0,0,1,3,42,61,0,0,0,0,2,9,0,2,13,6,0
inactive,Student_6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_97,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_45,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_14,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0
inactive,Student_77,0,0,0,0,0,0,5,0,0,0,9,0,0,4,17,0,0,0,0,1,0,0,4,0,0,0
inactive,Student_64,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_75,46,0,0,0,0,0,21,2,0,0,11,0,0,9,28,1,1,0,0,0,0,0,0,1,3,0
inactive,Student_87,37,0,0,0,0,0,54,0,0,0,11,0,0,28,34,0,0,0,0,8,32,0,0,0,6,0
inactive,Student_66,16,1,0,0,0,0,34,0,0,0,0,0,0,14,17,0,0,0,0,0,10,0,1,0,0,0
inactive,Student_22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0
inactive,Student_1,20,1,0,0,0,0,3,0,0,0,0,0,0,10,47,0,0,0,0,0,0,0,1,0,0,0
inactive,Student_56,0,1,0,0,0,0,3,0,0,0,0,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0
inactive,Student_88,34,2,0,0,0,0,72,0,0,0,7,0,0,35,33,0,0,5,11,0,16,0,3,2,1,0
inactive,Student_48,9,0,0,0,0,0,29,0,0,0,8,0,0,9,26,0,0,0,0,0,13,0,0,0,0,0
inactive,Student_24,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
