class,name,total,algum conteudo foi publicado,assinatura criada,assinatura de discussao criada,comentario apagado,comentario criado,curso visto,discussao visualizada,discussao criada,formulario de confirmacao de submissao visualizado,formulario de submissao visualizado,lista de instancias de modulos de cursos visualizados,lista de usuarios vistos,modulo do curso visualizado,o status da submissao foi visualizado,o usuario aceitou o acordo da tarefa,o usuario salvou um envio,perfil do usuario visto,post atualizado,post criado,relatorio de notas do usuario visualizado,relatorio de um utilizador do curso visualizado,submissao criada,um arquivo foi enviado,um envio foi submetido,visualizado relatorio de usuario
active,Student_92,4,0,0,0,0,0,8,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0
active,Student_82,4,0,0,0,0,0,9,0,0,0,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,0
active,Student_95,5,1,0,0,0,0,13,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
active,Student_83,0,0,0,0,0,0,7,0,0,0,0,0,0,9,2,0,0,0,0,1,0,0,0,0,0,0
active,Student_65,5,0,0,0,0,0,12,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
active,Student_42,5,0,0,0,0,0,10,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0
active,Student_46,4,1,0,0,0,0,4,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0
active,Student_61,3,1,0,0,0,0,5,0,0,0,0,0,0,18,2,0,0,0,0,1,0,0,0,0,0,0
active,Student_59,5,1,0,0,0,0,13,0,0,0,0,0,0,13,4,0,0,0,0,1,0,0,0,0,0,0
active,Student_60,5,1,0,0,0,0,11,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,0,0
active,Student_70,5,0,0,0,0,0,9,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,4,0
active,Student_90,0,1,0,0,0,0,12,0,0,0,0,0,0,15,9,0,0,0,0,0,1,0,0,0,0,0
active,Student_54,5,0,0,0,0,0,14,0,0,0,0,0,0,18,9,0,0,0,0,0,1,0,0,0,0,0
active,Student_53,5,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0
active,Student_69,0,4,0,0,0,0,15,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,1,0,0,0
active,Student_86,5,0,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
active,Student_57,5,0,0,0,0,0,7,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,0,0,0
active,Student_72,5,0,0,0,0,0,12,0,0,0,0,0,0,9,3,0,0,0,0,0,1,0,1,0,0,0
active,Student_68,0,0,0,0,0,0,4,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
active,Student_91,5,1,0,0,0,0,4,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0
active,Student_39,5,0,0,0,0,0,15,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
active,Student_96,4,0,0,0,0,0,19,0,0,0,0,0,0,11,2,0,0,0,0,2,0,0,0,0,0,0
active,Student_80,5,1,0,0,0,0,18,0,0,0,0,0,0,42,9,0,0,0,0,0,0,0,0,0,6,0
active,Student_73,5,0,0,0,0,0,12,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0
active,Student_94,5,0,0,0,0,0,5,0,0,0,0,0,0,10,6,0,0,0,0,0,1,0,0,0,0,0
active,Student_38,5,0,0,0,0,0,11,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0
