time,name,event
1/8/2018 13:34,Student_99,algum conteudo foi publicado
1/8/2018 13:36,Student_99,algum conteudo foi publicado
1/9/2018 8:04,Student_1,algum conteudo foi publicado
1/9/2018 8:38,Student_46,algum conteudo foi publicado
1/9/2018 9:41,Student_91,algum conteudo foi publicado
1/9/2018 9:51,Student_59,algum conteudo foi publicado
1/9/2018 13:07,Student_36,algum conteudo foi publicado
1/9/2018 15:18,Student_2,algum conteudo foi publicado
1/9/2018 15:32,Student_10,algum conteudo foi publicado
1/9/2018 16:04,Student_56,algum conteudo foi publicado
1/9/2018 19:42,Student_63,algum conteudo foi publicado
1/9/2018 21:49,Student_90,algum conteudo foi publicado
1/10/2018 10:14,Student_55,algum conteudo foi publicado
1/10/2018 10:31,Student_80,algum conteudo foi publicado
1/10/2018 10:49,Student_105,algum conteudo foi publicado
1/10/2018 13:41,Student_50,algum conteudo foi publicado
1/10/2018 13:44,Student_50,algum conteudo foi publicado
1/10/2018 13:44,Student_50,algum conteudo foi publicado
1/10/2018 15:50,Student_50,algum conteudo foi publicado
1/10/2018 16:59,Student_60,algum conteudo foi publicado
1/10/2018 18:07,Student_61,algum conteudo foi publicado
1/10/2018 18:12,Student_69,algum conteudo foi publicado
1/10/2018 18:27,Student_69,algum conteudo foi publicado
1/10/2018 18:28,Student_69,algum conteudo foi publicado
1/10/2018 19:35,Student_52,algum conteudo foi publicado
1/10/2018 19:35,Student_69,algum conteudo foi publicado
1/10/2018 21:04,Student_76,algum conteudo foi publicado
1/10/2018 22:15,Student_88,algum conteudo foi publicado
1/10/2018 22:25,Student_63,algum conteudo foi publicado
1/10/2018 23:02,Student_95,algum conteudo foi publicado
1/11/2018 1:14,Student_66,algum conteudo foi publicado
1/11/2018 8:11,Student_90,algum conteudo foi publicado
1/11/2018 9:55,Student_89,algum conteudo foi publicado
1/11/2018 9:55,Student_89,algum conteudo foi publicado
1/11/2018 9:56,Student_89,algum conteudo foi publicado
1/11/2018 9:57,Student_89,algum conteudo foi publicado
1/11/2018 10:16,Student_83,algum conteudo foi publicado
1/11/2018 10:32,Student_51,algum conteudo foi publicado
1/11/2018 10:51,Student_71,algum conteudo foi publicado
1/11/2018 10:52,Student_71,algum conteudo foi publicado
1/11/2018 10:58,Student_51,algum conteudo foi publicado
1/11/2018 10:58,Student_51,algum conteudo foi publicado
1/11/2018 10:58,Student_51,algum conteudo foi publicado
1/11/2018 10:58,Student_51,algum conteudo foi publicado
1/11/2018 11:54,Student_59,algum conteudo foi publicado
1/11/2018 13:14,Student_105,algum conteudo foi publicado
1/11/2018 13:24,Student_49,algum conteudo foi publicado
1/11/2018 13:25,Student_49,algum conteudo foi publicado
1/11/2018 13:25,Student_49,algum conteudo foi publicado
1/11/2018 13:25,Student_49,algum conteudo foi publicado
1/11/2018 13:25,Student_49,algum conteudo foi publicado
1/11/2018 13:34,Student_54,algum conteudo foi publicado
1/11/2018 13:46,Student_42,algum conteudo foi publicado
1/11/2018 13:47,Student_42,algum conteudo foi publicado
1/11/2018 13:48,Student_42,algum conteudo foi publicado
1/11/2018 13:48,Student_42,algum conteudo foi publicado
